Start Date,End Date,Portfolio name,Currency,Campaign Name,Country,Ad Group Name,Retailer,Targeting,Match Type,Impressions,Top-of-search impression share,Clicks,Click-through rate (CTR),Cost per click (CPC),Spend,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Sales,7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales,7 Day Other SKU Sales
"Feb 01, 2026","Mar 16, 2026",Jars,USD,NM - SP - STR - Exact - Jars - Jan 2026,United States,NM - SP - STR - Exact - Jars - Jan 2026,Amazon,collagen creatine electrolytes,EXACT,13,25.8300%,2,15.3846%,3,5,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Mar 19, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,electrolytes collagen creatine,PHRASE,1338,12.9200%,8,0.5979%,3,25,56.6407%,1.77,45,1,1,12.5000%,1,0,45,0
"Feb 01, 2026","Mar 01, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,hydration & collagen electrolyte drink mix,PHRASE,7,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 19, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,electrolytes with collagen,PHRASE,238,2.1300%,6,2.5210%,2,14,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,electrolyte with creatine,PHRASE,787,0.5800%,4,0.5083%,2,9,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Feb 17, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,creatine electrolyte powder,PHRASE,265,0.0800%,5,1.8868%,4,18,88.8442%,1.13,20,1,2,20.0000%,0,2,0,20
"Feb 01, 2026","Mar 17, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,electrolytes collagen,PHRASE,1240,6.1300%,15,1.2097%,3,41,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,protein collagen and creatine,PHRASE,39,5.2600%,1,2.5641%,3,3,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Mar 11, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,collagen creatine electrolytes,PHRASE,7,11.4300%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,harlo electrolytes,PHRASE,2698,3.6000%,21,0.7784%,3,56,26.9007%,3.72,209,6,12,28.5714%,2,10,90,120
"Feb 01, 2026","Feb 01, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,creatine electrolytes,PHRASE,0,100.0000%,0,,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 19, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,creatine single serve packets,PHRASE,100,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 13, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,electrolytes powder with creatine,PHRASE,63,0.8500%,1,1.5873%,3,3,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 03, 2026","Feb 07, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,electrolytes with creatine,PHRASE,0,,0,,0,0,,,0,0,0,,0,0,0,0
"Feb 12, 2026","Mar 07, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,electrolyte collagen creatine,PHRASE,0,,0,,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 19, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,collagen packets,PHRASE,1160,0.2200%,2,0.1724%,3,6,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Mar 19, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,creatine and electrolytes,PHRASE,2746,1.2700%,22,0.8012%,3,62,24.9536%,4.01,248,6,6,27.2727%,3,3,135,113
"Feb 01, 2026","Mar 10, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,creatine electrolytes collagen,PHRASE,47,11.5400%,1,2.1277%,5,5,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Mar 19, 2026",Jars,USD,NM - SP - STR - Phrase - Jars - Jan 2026,United States,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,collagen electrolyte powder,PHRASE,170,4.4600%,1,0.5882%,3,3,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,United States,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,Amazon,electrolyte packets,EXACT,8477,0.0200%,56,0.6606%,2,107,307.6040%,0.33,35,3,3,5.3571%,3,0,35,0
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,United States,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,Amazon,electrolyte powder packets,EXACT,695,0.0000%,17,2.4460%,1,19,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Mar 03, 2026",Sachets,USD,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,United States,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,Amazon,electrolytes with creatine,EXACT,176,0.3500%,1,0.5682%,2,2,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 02, 2026","Feb 03, 2026",Sachets,USD,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,United States,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,Amazon,electrolyte drink mix packets,EXACT,3,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
